"id","authors","year","title","WI","number","version","media","comment","newname","publisher","subtitle","publishdate","pagecount","category","language","sale","price","currency","mature","isbn10","isbn13","matching"
552,"Straubing, Howard",0,"Finite Automata, Formal Logic and Circuit Complexity",11,259,"","","","Finite Automata, Formal Logic, and Circuit Complexity","Springer Science & Business Media",NA,"2012-12-06","227","Computers","en","FOR_SALE","97.36","EUR","NOT_MATURE",NA,"9781461202899","0"
554,"Gajski, Daniel D.",0,"Principles of digital design",11,659,"","","","Principles of Digital Design",NA,NA,"1997","447","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"0"
555,"Lamersdorf, Winfried",0,"Datenbanken in verteilten Systemen",15,32,"b","","","Datenbanken in verteilten Systemen","Springer-Verlag","Konzepte, Losungen, Standards","2013-07-29","238","Technology & Engineering","de","FOR_SALE","36.99","EUR","NOT_MATURE",NA,"9783322868312","0"
556,"Westerkamp, Peter",0,"Dynamische Erzeugung von chemischen Laborberichten in einem web-basierten Informationssystem",25,195,"","Diss","","Service Oriented Provisioning of Learning Objects",NA,NA,"2005","52",NA,"en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"4"
557,"Coenen, Olaf",0,"E-Learning-Architektur fÃ_r universitÃ_re Lehr- und Lernprozesse",18,73,"","","","E-Learning-Architektur fur universitare Lehr- und Lernprozesse",NA,NA,"2002","505",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","389012934X","9783890129341","3"
559,"Masand, Brij (Hrsg.)",0,"Web usage analysis and user profiling",25,155,"","","","Web Usage Analysis and User Profiling","Springer","International WEBKDD'99 Workshop San Diego, CA, USA, August 15, 1999 Revised Papers","2000-07-26","182","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540678182","9783540678182","2"
560,"Vossen, Gottfried",1999,"Datenbankmodelle, Datenbanksprachen und Datenbankmanagement-Systeme, 3. Auflage",15,46,"h","","","Datenbankmodelle, Datenbanksprachen und Datenbankmanagement-Systeme",NA,NA,"1999","770",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3486245449","9783486245448","3"
561,"Schulz, Ralph-H.",0,"Mathematische Aspekte der Angewandten Informatik",51,231,"","","","Internationale mathematische Nachrichten",NA,NA,"1998",NA,"Mathematics","de","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"2"
562,"Bertino, Elisa",0,"Object-Oriented Methodologies and Systems",90,858,"","LNCS","","Object-Oriented Methodologies and Systems","Springer Science & Business Media","International Symposium ISOOMS '94, Palermo, Italy, September 21-22, 1994. Proceedings","1994-09-07","386","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","354058451X","9783540584513","0"
563,"Privara, Igor",0,"Mathematical Foundations of Computer Science 1994",90,841,"","LNCS","","Mathematical Foundations of Computer Science 1994","Springer Science & Business Media","19th International Symposium, MFCS'94, Kosice, Slovakia, August 22 - 26, 1994. Proceedings","1994-08-03","628","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540583386","9783540583387","0"
564,"Loucopoulos, P.",0,"Entity-Relationship Approach ER",90,881,"","LNCS","","Entity-Relationship Approach - ER '94. Business Modelling and Re-Engineering","Springer Science & Business Media","13th International Conference on the Entity-Relationship Approach, Manchester, United Kingdom, December 13 - 16, 1994 Proceedings","1994-11-30","579","Business & Economics","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540587861","9783540587866","2"
565,"Elmagarmid, Ahmed (Ed.)",0,"Management of heterogenous and autonomous database systems",15,498,"","","","Management of Heterogeneous and Autonomous Database Systems","Morgan Kaufmann",NA,"1999","413","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","155860216X","9781558602168","0"
566,"Scherer, Stefan K.",0,"Specification and prototypical execution of integrity concepts for domain-specific database management systems",15,345,"","Diss","","Specification and Prototypical Execution of Integrity Concepts for Domain-specific Database Management Systems",NA,NA,"1995","193","Database design","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3860642111","9783860642115","2"
567,"Singhal, Mukesh",0,"Advanced concepts in operating systems",11,359,"a","","","Advanced Concepts In Operating Systems","Tata McGraw-Hill Education",NA,"2001-08-01","522","Operating systems (Computers)","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0070472688","9780070472686","0"
568,"Nievergelt, JÃ_rg",0,"IGIS'94 Geographic Information Systems",90,884,"","LNCS","","IGIS '94-- geographic information systems","Springer","International Workshop on Advanced Research in Geographic Information Systems, Monte Verita, Ascona, Switzerland, February/March, 1994 : proceedings","1994","291","Technology & Engineering","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"2"
570,"Tanenbaum, Andrew S.",0,"Distributed Operating Systems",11,493,"","","","Distributed Operating Systems","Pearson Education India",NA,"1995-09-01","606","Distributed operating systems (Computers)","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","8177581791","9788177581799","0"
571,"Weske, Mathias",0,"Deadlocks in Computersystemen",11,519,"","","","Einsatz von FlowMark_1hnT_1hnM in der Molekularbiologie",NA,NA,"1996","16",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"4"
572,"Vollmar, Roland",0,"Modelle der Parallelverarbeitung",19,35,"","","","Modelle der Parallelverarbeitung","Springer-Verlag","Eine Einfuhrung","2013-03-08","215","Technology & Engineering","de","FOR_SALE","42.99","EUR","NOT_MATURE",NA,"9783322867728","2"
574,"HÃ_rtig, Martin",0,"Objektorientierte integration von autonomen Datenhaltungssystemen",15,364,"","Diss","","Objektorientierte Integration von autonomen Datenhaltungssystemen",NA,NA,"1994","241",NA,"en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3860642138","9783860642139","2"
